image_id,relative_path,source_label,environment,quality_label,issue_type,multi_leaf,severe_fall_armyworm,blur,occlusion,partial_leaf,complex_background,small_leaf,large_leaf,rationale
multi_01_12375054,common_rust/real/common_rust_maize_field_real_12375054.jpg,common_rust,real,GOOD,correct,true,false,false,false,false,true,false,false,"La propuesta cubre la hoja diagnóstica principal."
multi_02_20965795,common_rust/real/common_rust_maize_field_real_20965795.jpg,common_rust,real,GOOD,correct,true,false,false,false,false,true,false,false,"Conserva la hoja frontal lesionada y excluye el fondo."
multi_03_73258109,common_rust/real/common_rust_maize_field_real_73258109.jpg,common_rust,real,GOOD,correct,true,false,false,false,false,true,false,false,"Cubre la hoja horizontal claramente dominante."
multi_04_37622117,fall_armyworm/real/fall_armyworm_maize_africa_real_37622117.jpg,fall_armyworm,real,AMBIGUOUS,partial_leaf,true,true,false,true,true,true,false,false,"Acercamiento de cogollo y larva sin una lámina objetivo única."
multi_05_68583594,fall_armyworm/real/fall_armyworm_maize_africa_real_68583594.jpg,fall_armyworm,real,AMBIGUOUS,multi_leaf,true,true,false,true,true,true,false,false,"Varias hojas dañadas convergen sin objetivo inequívoco."
multi_06_95289884,fall_armyworm/real/fall_armyworm_maize_africa_real_95289884.jpg,fall_armyworm,real,AMBIGUOUS,no_detection,true,true,false,true,true,true,false,false,"Cogollo con varias hojas rotas y sin instancia seleccionable."
multi_07_67220087,fall_armyworm/real/fall_armyworm_multi_desease_real_67220087.jpg,fall_armyworm,real,BAD,subsegmentation,true,true,false,true,true,false,false,true,"La máscara retiene sólo tejido alrededor de la larva y elimina gran parte de la hoja."
multi_08_39978786,gray_leaf_spot/lab/gray_leaf_spot_cropdg_real_39978786.jpg,gray_leaf_spot,lab,BAD,no_detection,true,false,false,false,false,false,false,true,"Hay una hoja clara sobre fondo simple pero no queda instancia a confidence 0.50."
multi_09_68684767,gray_leaf_spot/lab/gray_leaf_spot_cropdg_real_68684767.jpg,gray_leaf_spot,lab,GOOD,correct,true,false,false,false,false,false,false,true,"La propuesta cubre la hoja completa sobre fondo uniforme."
multi_10_92680687,gray_leaf_spot/lab/gray_leaf_spot_cropdg_real_92680687.jpg,gray_leaf_spot,lab,GOOD,minor_oversegmentation,true,false,false,false,false,false,false,true,"La hoja principal queda cubierta con fuga menor tolerable en bordes."
multi_11_28853442,gray_leaf_spot/real/gray_leaf_spot_maize_field_real_28853442.jpg,gray_leaf_spot,real,GOOD,multi_leaf_clear,true,false,false,true,false,true,false,false,"La instancia mayor y centrada coincide con la hoja frontal."
multi_12_39881527,gray_leaf_spot/real/gray_leaf_spot_maize_field_real_39881527.jpg,gray_leaf_spot,real,GOOD,correct,true,false,false,false,false,true,false,false,"La propuesta única cubre la hoja vertical dominante."
multi_13_78936724,gray_leaf_spot/real/gray_leaf_spot_maize_field_real_78936724.jpg,gray_leaf_spot,real,BAD,subsegmentation,true,false,false,false,true,true,false,false,"Una hoja se divide en dos instancias y sólo se conserva la mitad derecha."
multi_14_healthy_236,healthy/real/healthy_cropdg_real_236.jpg,healthy,real,AMBIGUOUS,near_full_frame,true,false,false,false,true,false,false,true,"Toda la imagen es hoja y el fallback ante máscara exacta completa es conservador."
multi_15_healthy_116,healthy/real/healthy_maize_africa_v1.2_real_116.jpg,healthy,real,GOOD,large_leaf,true,false,false,false,true,false,false,true,"La máscara casi completa coincide con un encuadre íntegramente foliar."
multi_16_healthy_52,healthy/real/healthy_maize_desease_v1.1_real_52.jpg,healthy,real,GOOD,multi_leaf_clear,true,false,false,true,false,true,false,true,"La hoja frontal grande se selecciona frente a hojas de fondo."
multi_17_68128670,lethal_necrosis/real/lethal_necrosis_multi_desease_real_68128670.jpeg,lethal_necrosis,real,AMBIGUOUS,multi_leaf,true,false,false,true,true,true,false,true,"Varias hojas solapadas llenan el encuadre sin identidad objetivo documentada."
multi_18_86292252,lethal_necrosis/real/lethal_necrosis_multi_desease_real_86292252.jpeg,lethal_necrosis,real,AMBIGUOUS,no_detection,true,false,false,false,true,false,false,true,"Tejido foliar casi completo sin borde distinguible ni propuesta a 0.50."
multi_19_14931860,nitrogen_deficiency/real/nitrogen_deficiency_corn_leaf_roboflow_real_14931860.jpg,nitrogen_deficiency,real,GOOD,multi_leaf_clear,true,false,false,false,false,true,false,false,"La hoja amarilla frontal domina área centro y confidence."
multi_20_24828346,nitrogen_deficiency/real/nitrogen_deficiency_corn_leaf_roboflow_real_24828346.jpg,nitrogen_deficiency,real,GOOD,correct,true,false,false,false,false,true,false,false,"La hoja seca y curvada claramente dominante queda seleccionada."
multi_21_55265158,nitrogen_deficiency/real/nitrogen_deficiency_corn_leaf_roboflow_real_55265158.jpg,nitrogen_deficiency,real,GOOD,minor_oversegmentation,true,false,false,false,false,true,false,false,"La hoja frontal queda seleccionada con fuga menor tolerable en la base."
multi_22_61428696,nitrogen_deficiency/real/nitrogen_deficiency_corn_leaf_roboflow_real_61428696.jpg,nitrogen_deficiency,real,GOOD,small_leaf,true,false,false,false,false,true,true,false,"La hoja necrótica frontal pequeña se separa del follaje posterior."
multi_23_78861979,nitrogen_deficiency/real/nitrogen_deficiency_corn_leaf_roboflow_real_78861979.jpg,nitrogen_deficiency,real,GOOD,multi_leaf_clear,true,false,false,false,false,true,false,false,"La instancia mayor cubre la hoja diagnóstica y supera claramente a la secundaria."
multi_24_90808646,nitrogen_deficiency/real/nitrogen_deficiency_corn_leaf_roboflow_real_90808646.jpg,nitrogen_deficiency,real,AMBIGUOUS,multi_leaf,true,false,false,false,false,true,true,false,"Dos hojas pequeñas tienen evidencia similar y no existe identidad externa."
multi_25_19639356,northern_corn_leaf_blight/real/northern_corn_leaf_blight_corn_leaf_roboflow_real_19639356.jpg,northern_corn_leaf_blight,real,GOOD,correct,true,false,false,false,false,true,false,false,"La hoja horizontal lesionada queda separada del suelo."
multi_26_11294654,northern_corn_leaf_blight/real/northern_corn_leaf_blight_maize_africa_real_11294654.jpg,northern_corn_leaf_blight,real,GOOD,multi_leaf_clear,true,false,false,false,false,true,false,false,"La instancia seleccionada es la hoja lesionada y la secundaria queda separada."
multi_27_89409035,northern_corn_leaf_blight/real/northern_corn_leaf_blight_maize_africa_real_89409035.jpg,northern_corn_leaf_blight,real,GOOD,correct,true,false,false,false,false,true,false,false,"La única instancia vigente cubre la hoja horizontal dominante."
multi_28_20041937,phosphorus_deficiency/real/phosphorus_deficiency_corn_leaf_roboflow_real_20041937.jpg,phosphorus_deficiency,real,GOOD,multi_leaf_clear,true,false,false,false,false,true,false,false,"La hoja morada frontal es mayor y más central que la posterior."
multi_29_24944108,phosphorus_deficiency/real/phosphorus_deficiency_corn_leaf_roboflow_real_24944108.jpg,phosphorus_deficiency,real,GOOD,correct,true,false,false,false,false,true,false,false,"La propuesta corresponde a la hoja central con coloración diagnóstica."
multi_30_31998367,potassium_deficiency/real/potassium_deficiency_corn_leaf_roboflow_real_31998367.jpg,potassium_deficiency,real,GOOD,multi_leaf_clear,true,false,false,false,false,true,false,false,"La hoja frontal domina área y centro; la segunda propuesta es marginal."
severe_50022046,fall_armyworm/real/fall_armyworm_corn_leaf_roboflow_real_50022046.jpg,fall_armyworm,real,BAD,no_detection,false,true,false,true,false,true,false,true,"Existe una hoja frontal clara pero el segmentador no produce detección a 0.50."
severe_89203456,fall_armyworm/real/fall_armyworm_maize_africa_real_89203456.jpg,fall_armyworm,real,AMBIGUOUS,no_detection,false,true,true,true,true,false,true,false,"Acercamiento pequeño y ocluido de larvas sin lámina completa."
severe_94767583,fall_armyworm/real/fall_armyworm_maize_africa_real_94767583.jpg,fall_armyworm,real,AMBIGUOUS,no_detection,true,true,false,true,true,true,false,true,"Varias hojas dañadas y fondo de campo sin objetivo único."
severe_30018448,fall_armyworm/real/fall_armyworm_multi_desease_real_30018448.jpg,fall_armyworm,real,AMBIGUOUS,no_detection,false,true,true,true,true,true,false,false,"Daño severo con blur y tejido parcial sin máscara utilizable."
severe_32286052,fall_armyworm/real/fall_armyworm_multi_desease_real_32286052.jpg,fall_armyworm,real,AMBIGUOUS,no_detection,false,true,true,true,true,true,true,false,"Imagen pequeña borrosa y ocluida sin lámina separable."
severe_75510763,fall_armyworm/real/fall_armyworm_multi_desease_real_75510763.jpg,fall_armyworm,real,AMBIGUOUS,no_detection,false,true,false,true,true,true,false,false,"Cogollo parcial muy dañado y ocluido sin hoja objetivo completa."
control_18227491,common_rust/lab/common_rust_maize_desease_lab_18227491.jpg,common_rust,lab,GOOD,correct,false,false,false,false,true,false,false,true,"Máscara completa y coherente sobre fondo negro de laboratorio."
control_18958685,common_rust/real/common_rust_maize_field_real_18958685.jpg,common_rust,real,GOOD,occlusion,false,false,false,true,true,true,false,true,"La máscara conserva la hoja diagnóstica pese a mano y fondo real."
control_63568813,fall_armyworm/real/fall_armyworm_maize_africa_real_63568813.jpg,fall_armyworm,real,GOOD,small_leaf,false,true,true,false,true,false,true,false,"Recorte diminuto y parcial cuya máscara conserva el tejido disponible."
control_20233718,common_rust/lab/common_rust_maize_desease_lab_20233718.jpg,common_rust,lab,BAD,no_detection,false,false,false,false,true,false,false,true,"Hoja recortada claramente visible pero sin propuesta a confidence 0.50."
control_91873634,common_rust/lab/common_rust_multi_desease_lab_91873634.jpg,common_rust,lab,GOOD,correct,false,false,false,false,true,false,false,true,"Hoja recortada sobre negro con una propuesta completa y utilizable."
control_15970270,gray_leaf_spot/lab/gray_leaf_spot_cropdg_real_15970270.jpg,gray_leaf_spot,lab,BAD,no_detection,false,false,false,false,true,false,false,true,"Hoja clara sobre fondo uniforme pero sin propuesta a confidence 0.50."
